Neighborhood;Total Population;People Per Square Mile;Area Square Mile;Median Household Income ;ratio of people below poverty level;ratio of people that speak English not well or not at all;ratio of foreign born residents
Bayview Hunters Point;25752;12518;2,057;65612;0,234;0,156;0,335
Bernal Heights;25440;24250;1,049;112685;0,084;0,073;0,283
Castro/Upper Market;13633;29996;0,655;282477;0,0769;0,014;0,188
Castro;12935;24605;0,526;142771;0,078;0,015;0,185
Upper Market;698;5391;0,129;139706;0,057;0;0,237
Chinatown;9200;54745;0,168;33769;0,254;0,513;0,639
Excelsior;34003;31684;1,073;79346;0,085;0,231;0,522
Financial District/South Beach;13610;32206;0,846;175783;0,189;0,277;0,511
Financial District;7368;16017;0,46;45162;0,246;0,366;0,571
South Beach;6242;16189;0,386;130621;0,122;0,172;0,44
Glen Park;6103;15847;0,385;113197;0,068;0,015;0,181
Golden Gate Park;125;76;1,635;57937;0,08;missing;0,339
Haight Ashbury;12367;39960;0,309;120823;0,119;0,033;0,157
Hayes Valley;5486;38341;0,143;94410;0,129;0,042;0,254
Inner Richmond;18687;33307;0,561;91415;0,14;0,12;0,285
Inner Sunset;41485;19993;2,075;145311;0,079;0,068;0,293
Japantown;1481;41463;0,036;74111;0,174;0,163;0,36
Lake Shore;5057;2017;2,508;95509;0,105;0,075;0,373
Lincoln Park;;;;;;;
Lone Mountain/USF;8897;29003;0,307;97516;0,117;0,05;0,228
Marina;11805;19110;0,618;147573;0,051;0,004;0,178
McLaren Park;;;;;;;
Mission ;45565;30764;1,481;96288;0,151;0,141;0,351
Mission Bay;6905;8205;0,842;134141;0,142;0,087;0,407
Nob Hill;19633;62679;0,313;88845;0,126;0,204;0,379
Noe Valley;22893;25134;0,911;135816;0,055;0,013;0,19
North Beach;18815;38258;0,492;83911;0,165;0,213;0,434
Oceanview/Merced/Ingleside;15125;62391;0,897;360041;0,116;0,196;0,472
Oceanview;7485;24269;0,308;65689;0,134;0,242;0,479
Merced Heights;2001;12886;0,155;102044;0,098;0,02;0,305
Merced Manor;1245;11885;0,105;97015;0,07;0,037;0,419
Ingleside;4394;13351;0,329;95293;0,108;0,243;0,551
Outer Mission;10037;29426;0,341;71441;0,093;0,213;0,552
Outer Richmond;20768;16791;1,237;86933;0,12;0,099;0,37
Pacific Heights;21799;28400;0,768;141246;0,057;0,018;0,156
Portola;12627;16381;0,771;93656;0,07;0,153;0,45
Potrero Hill;11423;7516;1,52;143312;0,048;0,016;0,229
Presidio;981;418;2,347;181923;0,041;0,01;0,13
Presidio Heights;4604;18734;0,246;153731;0,113;0,047;0,186
Russian Hill;13355;33619;0,397;118923;0,11;0,081;0,258
Seacliff;760;5315;0,143;161485;0,07;0,038;0,208
South of Market;11623;18297;0,635;92455;0,25;0,125;0,387
Sunset/Parkside;108277;36742;5,601;217501;0,094;0,141;0,395
Sunset ;90343;19923;4,535;111999;0,088;0,14;0,389
Parkside;17934;16819;1,066;105502;0,124;0,144;0,428
Tenderloin;9011;32459;0,278;92094;0,262;0,105;0,409
Treasure Island;44;67;0,657;46185;0,483;0,023;0,269
Twin Peaks;2052;10359;0,198;171840;0,043;0;0,192
Visitacion Valley;31477;25031;1,258;71479;0,162;0,25;0,48
West of Twin Peaks;4821;10368;0,465;168297;0,051;0,043;0,284
Western Addition;14446;39272;0,368;66992;0,236;0,147;0,383